the_geom,physicalid,l_low_hn,l_high_hn,r_low_hn,r_high_hn,l_zip,r_zip,status,bike_lane,trafdir,rw_type,pre_type,post_type,objectid,fcc,left_side_block_face_id,right_side_block_face_id,average_travel_time,roadway_jurisdiction,nominaldir,accessible,nonped,borough_code,borough_indicator,segloc_status,san_district_inc,left_side_subset,right_side_subset,continuous_parity_flag,twisted_parity_flag,posted_speed,segment_length,street_width,street_width_irr,special_disaster,fire_lane,created_date,modified_date,within_bndy_dist,truck_route_type,collection_method,from_level_code,to_level_code,b5sc,snow_priority,joinid,bphys_id,cartography_display_level,number_travel_lanes,number_park_lanes,number_total_lane,pre_modifier,pre_directional,post_directional,post_modifier,full_street_name,bike_traffic_direction,shape__length,globalid,segment_type,segment_type_value,street_name,street_name_label,geometry
"MULTILINESTRING ((-73.990287168993 40.719090382683, -73.990247401121 40.719176845795, -73.990211421441 40.719251108235))",67.445,,,,,10002.0,10002.0,2,1.0,FT,1,,ST,61.312,,,,,,,,,1,,,,2A,2A,,N,25.0,"28,83569889",30.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,3.0,,13,13,111610,C,,,,2.0,0.0,2.0,,,,,ALLEN ST,FT,"25,06830124754",ae631a07-9b89-4c6f-a69b-07afe7ec40ce,,,ALLEN,ALLEN ST,"MULTILINESTRING ((-73.990287 40.71909, -73.990247 40.719177, -73.990211 40.719251))"
"MULTILINESTRING ((-73.991781325322 40.709584908781, -73.991769091718 40.70956329457))",134.189,,,,,10002.0,10002.0,2,,TF,3,,BRG,102.727,,212.260.114,212.261.867,,,,,V,1,,,,,,,N,35.0,"22,25577143",22.0,,,,2007 Nov 29 12:00:00 AM,2023 Apr 07 11:48:07 AM,,3.0,,21,21,197950,V,,,10.0,2.0,0.0,2.0,,,,,MANHATTAN BRG,,"3,45395500263",5529db6c-bff7-43c8-8b4c-b9925bf99293,,,MANHATTAN,MANHATTAN BRG,"MULTILINESTRING ((-73.991781 40.709585, -73.991769 40.709563))"
"MULTILINESTRING ((-74.000141919485 40.702730010369, -74.00046158738 40.702274931713, -74.00246501512 40.700252358616, -74.002961539706 40.699751618597), (-74.002961539706 40.699751618597, -74.003091604586 40.699634491942, -74.003224224 40.699519036497, -74.003359360878 40.699405284541), (-74.003359360878 40.699405284541, -74.003496977478 40.699293268116, -74.003637035293 40.699183018303, -74.003779495175 40.699074565928))",179.239,,,,,,,2,,NV,14,,RTE,114.147,,,,,,,,,1,,,,,,,N,,"226,82643216",,,,,2017 Feb 22 01:48:27 PM,2021 Apr 20 05:21:37 PM,,,,13,13,100869,,,,,,,,,,,,STATUE OF LIBERTY FERRY RTE,,"673,95930250848",8abd08a0-c080-4809-8929-53bbd2c96171,,,STATUE OF LIBERTY FERRY,STATUE OF LIBERTY FERRY RTE,"MULTILINESTRING ((-74.000142 40.70273, -74.000462 40.702275, -74.002465 40.700252, -74.002962 40.699752), (-74.002962 40.699752, -74.003092 40.699634, -74.003224 40.699519, -74.003359 40.699405), (-74.003359 40.699405, -74.003497 40.699293, -74.003637 40.699183, -74.003779 40.699075))"
"MULTILINESTRING ((-73.997771266942 40.711978836635, -73.997747534022 40.71185410296, -73.997713845855 40.711730703028, -73.997670327921 40.711609096479), (-73.997670327921 40.711609096479, -73.997617141703 40.71148973681, -73.997554485983 40.711373068106, -73.997482594138 40.711259524943))",115.21,,,,,10038.0,10038.0,2,,NV,6,,PATH,99.346,,0,0,,,,,,1,,,,,,,N,,,0.0,,,,2011 Jan 28 06:05:53 PM,2017 Sep 07 01:07:40 PM,,,,13,13,113070,,,,,0.0,0.0,0.0,,,,,PEDESTRIAN PATH,,"111,01551262948",dede07a4-98f1-484b-a790-3a5f0dcafdb6,,,PEDESTRIAN,PEDESTRIAN PATH,"MULTILINESTRING ((-73.997771 40.711979, -73.997748 40.711854, -73.997714 40.711731, -73.99767 40.711609), (-73.99767 40.711609, -73.997617 40.71149, -73.997554 40.711373, -73.997483 40.71126))"
"MULTILINESTRING ((-74.015003857855 40.706241746676, -74.015004589929 40.705956674851))",79.274,,,,,10004.0,10004.0,2,,FT,1,,EN,71.782,,212.261.003,212.261.799,,,,,V,1,,,,,,,N,25.0,"68,90430694",24.0,,,,2007 Nov 29 12:00:00 AM,2023 Mar 21 09:05:42 AM,,3.0,,13,13,197030,V,,,,2.0,0.0,2.0,,,,,HUGH L CAREY TUNNEL EN,,"41,86199605188",90b0da97-30fe-4cc9-8458-1985ced6a5ae,,,HUGH L CAREY TUNNEL,HUGH L CAREY TUNNEL EN,"MULTILINESTRING ((-74.015004 40.706242, -74.015005 40.705957))"
"MULTILINESTRING ((-74.007949913006 40.705554426033, -74.007453473831 40.706059331309))",90.0,157,169,154,168,10005.0,10005.0,2,3.0,TF,1,,ST,60.0,,212.261.778,212.261.586,,,,,,1,,,,1B,1B,,N,25.0,"229,74636346",18.0,,,,2007 Nov 29 12:00:00 AM,2018 Apr 19 02:57:33 PM,,,,13,13,128490,C,,,,1.0,1.0,2.0,,,,,PEARL ST,TF,"92,47318724899",4709869c-c903-4311-bcb2-580132301c93,,,PEARL,PEARL ST,"MULTILINESTRING ((-74.00795 40.705554, -74.007453 40.706059))"
"MULTILINESTRING ((-74.014398013673 40.706108128189, -74.014337799762 40.706245445979))",91.581,30,40,29,39,10006.0,10004.0,2,,FT,1,,ST,82.786,,212.261.736,212.260.736,,,,,,1,,,,1A,1A,,N,25.0,"52,62717661",30.0,,,,2007 Nov 29 12:00:00 AM,2017 Jul 18 12:54:40 PM,,,,13,13,121790,C,,,,2.0,0.0,2.0,,,,,GREENWICH ST,,"21,24960623377",a2c42954-3f57-4bd8-beb9-18fa727948e9,,,GREENWICH,GREENWICH ST,"MULTILINESTRING ((-74.014398 40.706108, -74.014338 40.706245))"
"MULTILINESTRING ((-73.992600455059 40.715121348411, -73.992014874478 40.716243750297))",67.432,17,39,0,0,10002.0,10002.0,2,1.0,TF,1,,ST,61.301,,212.261.927,212.261.955,,,,,,1,,,,2B,2B,,N,25.0,"439,96763729",42.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,2.0,F,13,13,111610,C,,,,3.0,1.0,4.0,,,,,ALLEN ST,TF,"177,26575790661",f6ca1459-7385-4e35-9e32-e322d4a3992d,,,ALLEN,ALLEN ST,"MULTILINESTRING ((-73.9926 40.715121, -73.992015 40.716244))"
"MULTILINESTRING ((-74.012443671815 40.701415050224, -74.012400531616 40.701366082144, -74.012381695847 40.70130618514))",142.203,,,,,10004.0,10004.0,2,1.0,NV,6,,,103.73,,,,,,,,D,1,,,,,,,N,,,,,,,2011 May 18 11:21:08 AM,2018 Apr 19 03:17:43 PM,,,,13,13,100736,,,,,,,,,,,,PETER MINUIT PLAZA GREENWAY,TW,"17,68810812923",3cc3d297-6eeb-4166-b911-ca8f5bd6a2f5,,,PETER MINUIT PLAZA GREENWAY,PETER MINUIT PLAZA GREENWAY,"MULTILINESTRING ((-74.012444 40.701415, -74.012401 40.701366, -74.012382 40.701306))"
"MULTILINESTRING ((-73.994209725537 40.713736113225, -73.9940747033 40.713744381687))",69.12,82,88,81,85,10002.0,10002.0,2,11.0,TW,1,,,62.806,,212.260.657,212.262.258,,,,,,1,,,,1A,1A,,N,25.0,"37,55233781",52.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,,,13,13,119690,C,,,,2.0,2.0,4.0,,E,,,E  BROADWAY,TW,"15,07958054812",0ae4fd8f-fd88-4d0d-a08c-4700d9a78724,,,BROADWAY,E BROADWAY,"MULTILINESTRING ((-73.99421 40.713736, -73.994075 40.713744))"
"MULTILINESTRING ((-74.001520687234 40.70970058221, -74.001455516807 40.709649245055))",66.947,,,,,10038.0,10038.0,2,,FT,3,,BRG,60.895,,212.260.540,212.260.129,,,,,V,1,,,,,,,N,30.0,"26,005272",28.0,,,,2007 Nov 29 12:00:00 AM,2023 Apr 27 09:46:55 AM,,,,17,17,197780,V,,,10.0,3.0,0.0,3.0,,,,,BROOKLYN BRG,,"10,46276139578",4e0561d4-f49c-4cea-bb92-f1c5ae09f40b,,,BROOKLYN,BROOKLYN BRG,"MULTILINESTRING ((-74.001521 40.709701, -74.001456 40.709649))"
"MULTILINESTRING ((-74.001567655436 40.713691303535, -74.001738194665 40.713794003997, -74.002599337363 40.714320966783))",113.0,491,519,0,520,10007.0,10007.0,2,,FT,1,,ST,78.0,,212.261.159,212.261.831,,,,,,1,,,,3B,3B,,N,25.0,"306,3505567",30.0,,,,2007 Nov 29 12:00:00 AM,2019 Jan 03 02:09:19 PM,,,,13,13,128490,H,,,,1.0,2.0,3.0,,,,,PEARL ST,,"147,44998374602",ff06015c-3a1a-4bce-bb9b-73e231112297,,,PEARL,PEARL ST,"MULTILINESTRING ((-74.001568 40.713691, -74.001738 40.713794, -74.002599 40.714321))"
"MULTILINESTRING ((-73.999235966463 40.718921808498, -73.998524572146 40.719793387503))",1.653,203,225,202,228,10013.0,10013.0,2,1.0,FT,1,,ST,1.366,,1.222.601.045,1.222.604.801,,,,,,1,,X,,1A,1A,,N,25.0,"373,79230647",40.0,,,,2007 Nov 29 12:00:00 AM,2024 Sep 23 02:48:37 PM,,2.0,F,13,13,114590,C,,,,2.0,2.0,4.0,,,,,CENTRE ST,FT,"150,52909915673",80b84b08-97ea-40bd-890d-8fc76fe68177,,,CENTRE,CENTRE ST,"MULTILINESTRING ((-73.999236 40.718922, -73.998525 40.719793))"
"MULTILINESTRING ((-73.997487728907 40.71402433637, -73.997445784322 40.714075113542))",140.87,,,,,10002.0,10002.0,2,,FT,1,,SQ,103.554,,0,212.261.840,,,,,,1,,,,1A,1A,,N,25.0,"21,04762564",34.0,,,,2012 Jan 12 03:29:16 PM,2019 Apr 15 03:24:37 PM,,2.0,,13,13,114930,C,,,,2.0,0.0,2.0,,,,,CHATHAM SQ,,"8,79852996722",6b36abeb-d5a8-4acc-9d2f-7d589e890610,,,CHATHAM,CHATHAM SQ,"MULTILINESTRING ((-73.997488 40.714024, -73.997446 40.714075))"
"MULTILINESTRING ((-74.014383148325 40.708232382328, -74.015209734597 40.708469095882))",136.0,23,39,28,50,10006.0,10006.0,2,,TF,1,,ST,98.0,,212.260.566,212.260.726,,,,,,1,,,,1A,1A,,N,25.0,"242,51987755",22.0,,,,2007 Nov 29 12:00:00 AM,2022 Nov 22 12:27:46 PM,,,,13,13,129440,H,,,,1.0,1.0,2.0,,,,,RECTOR ST,,"98,36246731332",85b468b6-8950-4c35-b14a-b83fd45bfc6a,,,RECTOR,RECTOR ST,"MULTILINESTRING ((-74.014383 40.708232, -74.01521 40.708469))"
"MULTILINESTRING ((-74.005559733004 40.702789494141, -74.004983726257 40.702893004105, -74.004345602544 40.702397130484), (-74.004345602544 40.702397130484, -74.004296819149 40.702363631015, -74.004245878851 40.702332045677, -74.004192911179 40.702302454789), (-74.004192911179 40.702302454789, -74.004138050973 40.702274933624, -74.004081437583 40.702249552127, -74.004023214966 40.702226374842))",179.264,,,,,,,2,,NV,14,,RTE,114.158,,,,,,,,,1,,,,,,,N,,"109,32301473",,,,,2017 Mar 06 12:01:08 PM,2017 Mar 06 12:14:15 PM,,,,13,13,100892,,,,,,,,,,,,HIGHLANDS-MIDTOWN EAST FERRY RTE,,"211,56481278423",f5d06e0e-4bef-4bb5-b91d-b77bdbc573bc,,,HIGHLANDS-MIDTOWN EAST FERRY,HIGHLANDS-MIDTOWN EAST FERRY RTE,"MULTILINESTRING ((-74.00556 40.702789, -74.004984 40.702893, -74.004346 40.702397), (-74.004346 40.702397, -74.004297 40.702364, -74.004246 40.702332, -74.004193 40.702302), (-74.004193 40.702302, -74.004138 40.702275, -74.004081 40.70225, -74.004023 40.702226))"
"MULTILINESTRING ((-74.004060308109 40.7131430296, -74.004819906893 40.713483240388))",79.668,2,34,1,35,10007.0,10007.0,2,,TW,1,,ST,72.107,,212.261.103,212.261.808,,,,,,1,,,,1B,1B,,N,25.0,"244,35080344",50.0,,,,2007 Nov 29 12:00:00 AM,2025 Apr 03 02:43:04 PM,,,,13,13,114710,C,,,20.0,3.0,2.0,5.0,,,,,CHAMBERS ST,,"98,21666634391",b32f3aad-a7fa-4f69-970b-bbd9fb2e71f1,,,CHAMBERS,CHAMBERS ST,"MULTILINESTRING ((-74.00406 40.713143, -74.00482 40.713483))"
"MULTILINESTRING ((-74.004060308109 40.7131430296, -74.003604103927 40.713653670389))",1.662,17,25,2,18,10007.0,10007.0,2,1.0,TW,1,,ST,1.374,,212.261.809,212.262.114,,,,,,1,,X,,3B,3B,,N,25.0,"224,95906461",50.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,,,13,13,114590,C,,,,2.0,2.0,4.0,,,,,CENTRE ST,TW,"90,57148234182",85e82cad-af4b-46cc-b416-ed50207303ff,,,CENTRE,CENTRE ST,"MULTILINESTRING ((-74.00406 40.713143, -74.003604 40.713654))"
"MULTILINESTRING ((-74.014144401736 40.701256174456, -74.014121098562 40.701271063276, -74.014099013039 40.701286990876, -74.014078224985 40.701303899692), (-74.014078224985 40.701303899692, -74.014058809502 40.70132172874, -74.014040836792 40.701340413464, -74.014024371807 40.701359886335), (-74.014024371807 40.701359886335, -74.014013843077 40.701376738936, -74.014005480512 40.701394280663, -74.013999360785 40.701412350681, -74.013995540007 40.701430783311, -74.013994053209 40.701449409551), (-74.013994053209 40.701449409551, -74.013980429365 40.701539307834))",145.806,,,,,10004.0,10004.0,2,,TF,1,,PL,104.351,,212.262.485,1.222.607.149,,,,,,1,,,,1A,1A,,N,25.0,"39,2700641",16.0,,,,2012 May 23 05:04:59 PM,2017 Aug 24 01:09:45 PM,,,,13,13,100038,V,,,,1.0,0.0,1.0,,,,,PETER MINUIT PL,,"47,34995183557",394aba86-c02e-4f77-9b3a-6653ceba783d,,,PETER MINUIT,PETER MINUIT PL,"MULTILINESTRING ((-74.014144 40.701256, -74.014121 40.701271, -74.014099 40.701287, -74.014078 40.701304), (-74.014078 40.701304, -74.014059 40.701322, -74.014041 40.70134, -74.014024 40.70136), (-74.014024 40.70136, -74.014014 40.701377, -74.014005 40.701394, -74.013999 40.701412, -74.013996 40.701431, -74.013994 40.701449), (-74.013994 40.701449, -74.01398 40.701539))"
"MULTILINESTRING ((-73.994368250847 40.713720325972, -73.994002158961 40.713070471998))",16.543,,,,,10002.0,10002.0,2,,FT,3,,BRG,14.759,,212.260.064,212.260.021,,,,,V,1,,,,1A,1A,,N,35.0,"257,59705443",22.0,,,,2007 Nov 29 12:00:00 AM,2023 Apr 07 11:48:06 AM,,3.0,,17,17,197950,V,,,10.0,2.0,0.0,2.0,,,,,MANHATTAN BRG,,"103,7762948701",b9622320-dd0d-42fc-b681-744ef85b94fc,,,MANHATTAN,MANHATTAN BRG,"MULTILINESTRING ((-73.994368 40.71372, -73.994002 40.71307))"
"MULTILINESTRING ((-74.000892961916 40.713007497276, -74.000809364793 40.713026089204, -74.000639092093 40.713064624502, -74.000187222706 40.713144525618, -73.999082964058 40.713285790781, -73.998887267142 40.713321397926, -73.998650610475 40.713396331728, -73.998532832291 40.713446717045))",182.297,0,0,165,237,10038.0,10038.0,2,1.0,FT,1,,ROW,115.136,,,,,,,,,1,,,,1A,1A,,N,,"496,39643176",,,,,2017 Aug 28 12:36:09 PM,2024 Sep 23 02:48:37 PM,,,,13,13,127890,C,,,,,,,,,,,PARK ROW,FT,"271,80569531634",2ace90d6-1e07-405c-9c38-f752c1006303,,,PARK,PARK ROW,"MULTILINESTRING ((-74.000893 40.713007, -74.000809 40.713026, -74.000639 40.713065, -74.000187 40.713145, -73.999083 40.713286, -73.998887 40.713321, -73.998651 40.713396, -73.998533 40.713447))"
"MULTILINESTRING ((-74.013529041118 40.715271094973, -74.013691839253 40.715297164191, -74.013692425808 40.715297257936))",131.929,,,,,10282.0,10282.0,2,2.0,TW,1,,ST,102.16,,212.260.483,212.260.659,,,,,,1,,,,1A,1A,,N,25.0,"215,62592829",55.0,,,,2007 Nov 29 12:00:00 AM,2024 Apr 21 10:21:10 PM,,,,13,13,127050,C,,,,2.0,0.0,2.0,,,,,MURRAY ST,TW,"18,58936196055",59dda2cb-fe61-4223-8120-2e682c547327,,,MURRAY,MURRAY ST,"MULTILINESTRING ((-74.013529 40.715271, -74.013692 40.715297, -74.013692 40.715297))"
"MULTILINESTRING ((-74.014906228803 40.707217059937, -74.015554777664 40.70761969305))",88.99,,,,,10006.0,10006.0,2,,FT,9,,EXIT,80.572,,1.222.600.391,212.260.257,,,,,V,1,,,,,,,N,,"135,9205494",46.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:18:10 PM,,3.0,,13,13,197040,V,,,10.0,3.0,0.0,3.0,,,,,HUGH L CAREY TUNNEL EXIT,,"93,31792886627",2167bf60-4622-4861-ae96-9ccd95bbddc7,,,HUGH L CAREY TUNNEL,HUGH L CAREY TUNNEL EXIT,"MULTILINESTRING ((-74.014906 40.707217, -74.015555 40.70762))"
"MULTILINESTRING ((-73.996866911985 40.715066058059, -73.996597685967 40.71550130535, -73.996286094111 40.716014326679, -73.996150590077 40.716093081496))",1.835,30,60,0,0,10013.0,10002.0,2,,TF,1,,,1.509,,212.260.954,212.262.372,,,,,,1,,,,1A,1A,,N,25.0,"177,15307057",30.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:25:13 PM,,2.0,,13,13,113460,C,,,,2.0,1.0,3.0,,,,,BOWERY,,"172,55609637578",82ade962-02f1-40f8-b40d-5b23c3ac2b04,,,BOWERY,BOWERY,"MULTILINESTRING ((-73.996867 40.715066, -73.996598 40.715501, -73.996286 40.716014, -73.996151 40.716093))"
"MULTILINESTRING ((-73.999841613441 40.719201221415, -73.999062749012 40.720052541734))",79.781,140,164,137,163,10013.0,10013.0,2,1.0,TF,1,,ST,72.209,,1.222.606.521,1.222.605.645,,,,,,1,,,,1F,1F,,N,25.0,"377,90673055",48.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,3.0,,13,13,124390,C,,,,3.0,2.0,5.0,,,,,LAFAYETTE ST,TF,"152,15835748441",1ce17a5b-3d60-4471-8544-51327e1f49a4,,,LAFAYETTE,LAFAYETTE ST,"MULTILINESTRING ((-73.999842 40.719201, -73.999063 40.720053))"
"MULTILINESTRING ((-74.007053264605 40.718277279945, -74.006594914221 40.718870419076))",555.0,0,0,189,207,10013.0,10013.0,2,1.0,TF,1,,,433.0,,1.222.601.725,1.222.602.844,,,,,,1,,,,3B,3B,,N,25.0,"250,6830023",30.0,,,,2007 Nov 29 12:00:00 AM,2024 Sep 20 09:04:50 AM,,,,13,13,144890,C,,,,1.0,2.0,3.0,,W,,,W  BROADWAY,TF,"100,95913358813",0f2e7f80-0c31-4ba9-b1ec-a8e0fb65a962,,,BROADWAY,W BROADWAY,"MULTILINESTRING ((-74.007053 40.718277, -74.006595 40.71887))"
"MULTILINESTRING ((-74.00260131909 40.719911667059, -74.00222238999 40.720348980682))",1.2,1,5,2,10,10013.0,10013.0,2,,TF,1,,ST,995.0,,1.222.601.584,1.222.602.772,,,,,,1,,,,1A,1A,,N,25.0,"190,83495238",26.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:44:26 AM,,,,13,13,125990,H,,,,1.0,2.0,3.0,,,,,MERCER ST,,"76,8443061629",4dedd116-450b-4295-82fc-079a7cb6bc05,,,MERCER,MERCER ST,"MULTILINESTRING ((-74.002601 40.719912, -74.002222 40.720349))"
"MULTILINESTRING ((-74.004468137443 40.714030710625, -74.004021529892 40.714567179262))",89.836,2,16,1,17,10007.0,10007.0,2,,FT,1,,ST,81.317,,212.261.009,212.261.041,,,,2.0,,1,,,,3B,3B,,N,25.0,"231,36579523",20.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:36:55 AM,,,,13,13,120240,V,,,,1.0,1.0,2.0,,,,,ELK ST,,"93,16284160143",e7b9546d-0074-4f5f-9c14-0adf926a66ee,,,ELK,ELK ST,"MULTILINESTRING ((-74.004468 40.714031, -74.004022 40.714567))"
"MULTILINESTRING ((-74.002033312726 40.704701191475, -74.001683953878 40.704412173879, -74.000384599673 40.703345089979))",178.794,,,,,,,2,,NV,14,,RTE,113.915,,,,,,,,,1,,,,,,,N,,"156,1880033",,,,,2017 Feb 21 04:25:25 PM,2020 Aug 28 08:49:50 PM,,,,13,13,100869,,,,,,,,,,,,STATUE OF LIBERTY FERRY RTE,,"270,81146609762",51b055d1-a42d-4efc-aefe-18d5accba1aa,,,STATUE OF LIBERTY FERRY,STATUE OF LIBERTY FERRY RTE,"MULTILINESTRING ((-74.002033 40.704701, -74.001684 40.704412, -74.000385 40.703345))"
"MULTILINESTRING ((-74.003931214253 40.711872182788, -74.003892372302 40.711882267728, -74.003826950162 40.711902462624))",182.307,,,,,10038.0,10038.0,2,,TF,1,,ROW,115.14,,,,,,,,,1,,,,3B,3B,,N,,"97,75024599",,,,,2017 Aug 23 11:11:07 AM,2023 Apr 10 10:55:18 AM,,,,13,13,127890,H,,,,,,,,,,,PARK ROW,,"12,43399221121",12086566-126d-4629-8b22-046c9a67b199,,,PARK,PARK ROW,"MULTILINESTRING ((-74.003931 40.711872, -74.003892 40.711882, -74.003827 40.711902))"
"MULTILINESTRING ((-74.001577452927 40.709628243258, -74.001455516807 40.709649245055))",79.127,,,,,10038.0,10038.0,2,,FT,9,,,71.659,,212.262.436,212.262.435,,,,,V,1,,,,,,,N,,"34,66066391",26.0,,,,2007 Nov 29 12:00:00 AM,2020 Aug 28 08:49:50 PM,,,,13,13,197310,C,,,,2.0,0.0,2.0,,,,,FDR DRIVE ENTRY RAMP,,"13,91985022609",10a00e71-d02e-4a0e-8c29-79cc51b04166,,,FDR DRIVE ENTRY RAMP,FDR DRIVE ENTRY RAMP,"MULTILINESTRING ((-74.001577 40.709628, -74.001456 40.709649))"
"MULTILINESTRING ((-74.004343325241 40.700302385801, -74.004350016541 40.70022915926, -74.004361316623 40.70015626133, -74.004377199456 40.700083859934), (-74.004377199456 40.700083859934, -74.004397628905 40.70001212196, -74.004422557451 40.69994121257, -74.004451927671 40.699871295108))",178.086,,,,,,,2,,NV,14,,RTE,113.614,,,,,,,,,1,,,,,,,N,,"160,47396937",,,,,2017 Jan 04 02:25:21 PM,2017 Jan 11 02:14:15 PM,,,,13,13,100678,,,,,,,,,,,,BELFORD-WALL STREET FERRY RTE,,"64,65829100487",80a25c9f-ca46-40c5-b58b-2530425ad75a,,,BELFORD-WALL STREET FERRY,BELFORD-WALL STREET FERRY RTE,"MULTILINESTRING ((-74.004343 40.700302, -74.00435 40.700229, -74.004361 40.700156, -74.004377 40.700084), (-74.004377 40.700084, -74.004398 40.700012, -74.004423 40.699941, -74.004452 40.699871))"
"MULTILINESTRING ((-73.991921771396 40.709562533418, -73.991906739624 40.709533635618))",134.186,,,,,10002.0,10002.0,2,,TF,3,,BRG,102.724,,212.261.868,212.261.620,,,,,V,1,,X,,,,,N,35.0,"22,53097342",32.0,,,,2007 Nov 29 12:00:00 AM,2023 Apr 07 10:32:31 AM,,3.0,,19,19,197950,V,,,10.0,3.0,0.0,3.0,,,,,MANHATTAN BRG,,"4,56175782996",e746128a-cb82-49a7-9b10-bcef593690fd,,,MANHATTAN,MANHATTAN BRG,"MULTILINESTRING ((-73.991922 40.709563, -73.991907 40.709534))"
"MULTILINESTRING ((-74.000989479869 40.717940142673, -74.000533254455 40.718438479521))",79.779,106,118,107,115,10013.0,10013.0,2,1.0,TF,1,,ST,72.207,,1.222.602.136,1.222.604.125,,,,,,1,,,,3B,3B,,N,25.0,"221,26432926",50.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,,,13,13,124390,C,,,,3.0,2.0,5.0,,,,,LAFAYETTE ST,TF,"89,08670722867",49775b75-27a7-4f38-8847-38ca798181aa,,,LAFAYETTE,LAFAYETTE ST,"MULTILINESTRING ((-74.000989 40.71794, -74.000533 40.718438))"
"MULTILINESTRING ((-73.992469573795 40.713865064646, -73.992456933233 40.713771122733, -73.992392866821 40.713199050734))",16.6,9,21,0,0,10002.0,10002.0,2,1.0,TF,1,,ST,14.799,,212.261.986,212.261.879,,,,,,1,,X,,1B,1B,,N,25.0,"209,17841043",44.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,2.0,F,13,13,128790,C,,,,3.0,1.0,4.0,,,,,PIKE ST,TF,"98,18672982936",278ece56-0056-4541-a54a-c6432d16154a,,,PIKE,PIKE ST,"MULTILINESTRING ((-73.99247 40.713865, -73.992457 40.713771, -73.992393 40.713199))"
"MULTILINESTRING ((-74.011716505197 40.713666031319, -74.011528198668 40.714302111041))",487.0,224,248,231,251,10007.0,10007.0,2,,TF,1,,ST,375.0,,212.260.327,212.261.477,,,,,,1,,,,1A,1A,,Y,25.0,"238,13107151",68.0,,,,2007 Nov 29 12:00:00 AM,2020 Jan 10 11:11:54 AM,,,,13,13,121790,C,,,,2.0,2.0,4.0,,,,,GREENWICH ST,,"95,74040144915",f69e8de1-7efd-42fb-8240-83fddf8515ed,,,GREENWICH,GREENWICH ST,"MULTILINESTRING ((-74.011717 40.713666, -74.011528 40.714302))"
"MULTILINESTRING ((-73.991177528204 40.717351200196, -73.990717374456 40.718277464732))",67.447,0,0,72,90,10002.0,10002.0,2,1.0,FT,1,,ST,61.314,,1.222.605.514,1.222.600.699,,,,,,1,,,,2B,2B,,N,25.0,"360,76934381",30.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:17:36 PM,,2.0,,13,13,111610,C,,,,2.0,1.0,3.0,,,,,ALLEN ST,FT,"145,36715441435",1eea4548-358c-4510-b798-a4308e73d9f5,,,ALLEN,ALLEN ST,"MULTILINESTRING ((-73.991178 40.717351, -73.990717 40.718277))"
"MULTILINESTRING ((-73.997445784322 40.714075113542, -73.997032486272 40.714612056365, -73.99674672418 40.715025357574))",197.225,0,0,1,29,10002.0,10002.0,2,,FT,1,,,121.004,,212.262.378,212.261.515,,,,,,1,,,,1A,1A,,N,25.0,"226,93083333",30.0,,,,2012 Jan 13 09:50:12 AM,2023 Oct 04 11:35:23 AM,,2.0,,13,13,113460,C,,,,2.0,1.0,3.0,,,,,BOWERY,,"159,82858613573",e5986063-12f1-42c5-a78c-b5840ea54a58,,,BOWERY,BOWERY,"MULTILINESTRING ((-73.997446 40.714075, -73.997032 40.714612, -73.996747 40.715025))"
"MULTILINESTRING ((-74.005889798112 40.714685525278, -74.007545060654 40.71544106481))",91.599,51,85,52,84,10007.0,10007.0,2,2.0,FT,1,,ST,82.804,,212.261.677,212.261.093,,,,,,1,,X,,3A,3A,,N,25.0,"535,09978414",32.0,,,,2007 Nov 29 12:00:00 AM,2018 Apr 19 02:56:06 PM,,,,13,13,129390,C,,,,1.0,2.0,3.0,,,,,READE ST,FT,"215,0947787088",c0897960-07ea-4f8d-94a4-f2f0141de641,,,READE,READE ST,"MULTILINESTRING ((-74.00589 40.714686, -74.007545 40.715441))"
"MULTILINESTRING ((-74.006168184281 40.716309617327, -74.006675493978 40.716540317472))",1.096,30,44,35,43,10007.0,10007.0,2,,FT,1,,ST,898.0,,1.222.604.148,1.222.605.839,,,,,,1,,,,3A,3A,,N,,"163,83556401",18.0,,,,2007 Nov 29 12:00:00 AM,2022 Apr 07 03:36:58 PM,,,,13,13,132580,H,,,,1.0,1.0,2.0,,,,,THOMAS ST,,"65,85817632646",03fd3de5-4c5f-4a60-96e4-7cf4c98d4ed2,,,THOMAS,THOMAS ST,"MULTILINESTRING ((-74.006168 40.71631, -74.006675 40.71654))"
